object_id,right_ascension,declination,segmentation_area,flux_detection_total,fluxerr_detection_total,vis_det,ellipticity,det_quality_flag,flux_vis_1fwhm_aper,fluxerr_vis_1fwhm_aper,flux_y_1fwhm_aper,fluxerr_y_1fwhm_aper,set_id,role,grade,field,tile_id,mag_total,log_area,reference_rank,match_distance_arcsec,match_delta_mag,match_delta_log_area,match_cost,nearest_published_candidate_arcsec,snr_total,color_vis_y,path_vis,candidate_neighbour_fraction
-538348755282446372,53.83487559587728,-28.24463721048137,1063,20.15931510925293,0.1645595878362655,1,0.6133562326431274,0,4.137749195098877,0.0317886546254158,7.22454833984375,0.1489669680595398,set_-538533000282255459,reference,unlabelled,fornax,,20.63881056664326,3.0265332645232967,1,90.2129352664422,-0.1203478239298014,-0.0222968220050532,0.1803349252043656,90.2129352664521,122.5046524138792,0.6051163460924457,data/raw/cutouts/-538348755282446372_VIS.fits,0.0
-538388300279185752,53.838830018692896,-27.918575268421712,1485,20.461933135986328,0.2640227079391479,1,0.1634552329778671,0,2.803168296813965,0.0345311574637889,5.363244533538818,0.1641468405723571,set_-538217418279056886,reference,unlabelled,fornax,,20.62263334705913,3.171726453653231,1,71.46538833466379,-0.1150425854500483,-0.1122528305852488,0.4664494314781167,71.46538833466339,77.50065627196888,0.7044460650869022,data/raw/cutouts/-538388300279185752_VIS.fits,0.1
-538403686280024363,53.84036868589829,-28.002436375910943,1081,10.894773483276367,0.1853190660476684,1,0.1703087985515594,0,2.2694575786590576,0.028504341840744,6.4876790046691895,0.184651032090187,set_-538510259280237822,reference,unlabelled,fornax,,21.30695448719869,3.03382569395331,1,83.97867587658149,0.0399633083457651,-0.0150043925750398,0.0294197845763959,83.97867587658602,58.78927471215496,1.1404182116243893,data/raw/cutouts/-538403686280024363_VIS.fits,0.6
-538443312280285128,53.84433127262354,-28.028512844726432,1480,15.885858535766602,0.2195016592741012,1,0.1497178822755813,2,2.4036638736724854,0.03133000805974,7.92108154296875,0.1768905073404312,set_-538575988280255664,reference,unlabelled,fornax,,20.897473272949743,3.170261715394957,1,43.47575395714352,0.0287679832177474,0.0418624466771508,0.0546276231053073,27.25137938441766,72.37238473869232,1.294776869803519,data/raw/cutouts/-538443312280285128_VIS.fits,1.0
-538510259280237822,53.85102594721731,-28.02378222346944,1119,11.303255081176758,0.2067082524299621,1,0.1908837854862213,0,2.147315263748169,0.0319072715938091,5.301194667816162,0.1738960444927215,set_-538510259280237822,candidate,C,fornax,102044187.0,21.26699117885293,3.04883008652835,0,0.0,0.0,0.0,0.0,0.0,54.68216652359625,0.98119485314428,data/raw/cutouts/-538510259280237822_VIS.fits,1.0
-538533000282255459,53.85330005751175,-28.22554594493343,1119,18.044158935546875,0.170674592256546,1,0.1738162636756897,0,4.46954870223999,0.0347091220319271,11.52974796295166,0.2136071771383285,set_-538533000282255459,candidate,B,fornax,102044187.0,20.759158390573063,3.04883008652835,0,0.0,0.0,0.0,0.0,0.0,105.7225841115482,1.028890349832745,data/raw/cutouts/-538533000282255459_VIS.fits,1.0
-538575988280255664,53.85759887222229,-28.02556642635688,1344,16.312400817871094,0.2123464941978454,1,0.2580274045467376,0,2.647579431533813,0.0309385117143392,11.244874954223633,0.1893860846757888,set_-538575988280255664,candidate,A,fornax,102044187.0,20.868705289732,3.1283992687178066,0,0.0,0.0,0.0,0.0,0.0,76.81973219992351,1.5702640796167031,data/raw/cutouts/-538575988280255664_VIS.fits,0.9
-539017471291901284,53.90174711549813,-29.19012843798826,1060,17.021804809570312,0.171375885605812,1,0.7939679622650146,0,2.7186598777771,0.0280597992241382,5.258623600006104,0.1700762063264846,set_-539279061291936993,reference,unlabelled,fornax,,20.82248598470585,3.0253058652647704,1,83.2108089293974,0.041728685419919,-0.1021229125868283,0.286011070035928,83.21080892940513,99.32438714699217,0.7162930206253159,data/raw/cutouts/-539017471291901284_VIS.fits,0.0
-539279061291936993,53.92790616393022,-29.19369935009748,1341,17.68874740600586,0.1893815249204635,1,0.1200086176395416,0,3.115741729736328,0.0288379061967134,10.942317962646484,0.2029360830783844,set_-539279061291936993,candidate,A,fornax,102042917.0,20.780757299285927,3.127428777851599,0,0.0,0.0,0.0,0.0,0.0,93.40270870368576,1.363869698645212,data/raw/cutouts/-539279061291936993_VIS.fits,1.0
-539682841264680696,53.9682841431277,-26.46806964808708,4669,88.52803039550781,0.3879980742931366,1,0.4144211709499359,2,6.670327186584473,0.039979699999094,19.91427230834961,0.26960489153862,set_-539682841264680696,candidate,C,fornax,102046114.0,19.03229799504447,3.6692238739308056,0,0.0,0.0,0.0,0.0,0.0,228.16615921816137,1.1875432608675047,data/raw/cutouts/-539682841264680696_VIS.fits,0.6
